action step time valid done rdy ack
consumer 358 1021.2102763457054 1 0 1 0
reciever 359 1022.6927521857598 1 0 1 1
sender 360 1022.9960494631125 1 0 0 1
producer 361 1028.073956229159 0 0 0 1
consumer 362 1046.475286902488 0 1 0 1
reciever 363 1046.617250678325 0 1 0 0
consumer 364 1048.4980803887897 0 0 0 0
producer 365 1072.8436915515601 1 0 0 0
sender 366 1073.2254831062598 1 0 1 0
reciever 367 1074.0711445417787 1 0 1 1
sender 368 1074.1313477480126 1 0 0 1
producer 369 1082.3351985013153 0 0 0 1
producer 370 1093.6656568714943 1 0 0 1
consumer 371 1093.9333162993871 1 1 0 1
reciever 372 1093.9690195769765 1 1 0 0
sender 373 1096.6188450507373 1 1 1 0
consumer 374 1112.3382158910001 1 0 1 0
reciever 375 1112.4319713002233 1 0 1 1
sender 376 1112.8466086300111 1 0 0 1
consumer 377 1115.2906341623911 1 1 0 1
reciever 378 1119.5906412955667 1 1 0 0
producer 379 1119.6412598271086 0 1 0 0
consumer 380 1130.4267431308012 0 0 0 0
producer 381 1132.4044299770094 1 0 0 0
sender 382 1134.2349766210036 1 0 1 0
reciever 383 1135.0457205660798 1 0 1 1
sender 384 1135.162869342578 1 0 0 1
consumer 385 1136.802351677417 1 1 0 1
reciever 386 1136.901760470722 1 1 0 0
sender 387 1137.731644103886 1 1 1 0
[Fault] 388 1146.057812991104 0 1 1 0
consumer 389 1154.6202981355702 0 0 1 0
reciever 390 1161.3850806117482 0 0 1 1
sender 391 1161.4932868740443 0 0 0 1
consumer 392 1161.8753665944778 0 1 0 1
reciever 393 1161.9825928580797 0 1 0 0
producer 394 1170.5350304699632 1 1 0 0
producer 395 1170.8926367472093 0 1 0 0
producer 396 1171.2050101426755 1 1 0 0
sender 397 1171.2337533560456 1 1 1 0
consumer 398 1175.4842126743097 1 0 1 0
reciever 399 1176.3780420108496 1 0 1 1
sender 400 1176.5490942765439 1 0 0 1
producer 401 1177.945159774015 0 0 0 1
consumer 402 1181.8718030376892 0 1 0 1
reciever 403 1182.2125632424966 0 1 0 0
producer 404 1188.672179983876 1 1 0 0
sender 405 1188.762671111493 1 1 1 0
consumer 406 1189.3626757600143 1 0 1 0
reciever 407 1189.5619667207177 1 0 1 1
sender 408 1189.9581481135954 1 0 0 1
producer 409 1192.0978270188502 0 0 0 1
producer 410 1200.7564989531716 1 0 0 1
